duration,version_code,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
4,0,37,2023-05-02 22:49:00.000,,,2023-05-02 22:53:17.191,2023-05-02 22:53:17.191,37,1.2222222,28.6,2.49,UTC-0400,+OWbbAvnWG,com.sec.android.app.shealth,2023-05-02 22:50:00.000,0ebc1392-b4a0-4b3b-8368-cb75c1f1c929,
4,0,12,2023-05-06 21:35:00.000,,,2023-05-06 21:39:11.562,2023-05-06 21:39:11.562,12,0.9444444,8.77,0.83,UTC-0400,+OWbbAvnWG,com.sec.android.app.shealth,2023-05-06 21:36:00.000,69338e93-67eb-4628-a437-0ccf64f152d0,
4,0,88,2023-05-08 12:34:00.000,,,2023-05-08 12:35:01.177,2023-05-08 12:35:01.177,88,1.0978334,65.87,6.16,UTC-0400,+OWbbAvnWG,com.sec.android.app.shealth,2023-05-08 12:35:00.000,4a3c2938-91bd-42da-82ee-4962c495a93b,
4,0,17,2023-05-05 16:49:00.000,,,2023-05-05 16:49:27.145,2023-05-05 16:49:25.706,17,0.8888889,11.909912,1.3200073,UTC-0400,oL6fnwM6i7,com.sec.android.app.shealth,2023-05-05 16:50:00.000,5c8dc08c-37d9-4712-aa2c-8abd68c06d53,
4,0,11,2023-05-07 14:31:00.000,,,2023-05-07 14:35:02.321,2023-05-07 14:31:23.686,11,1.1655972,8.35,0.73,UTC-0400,+OWbbAvnWG,com.sec.android.app.shealth,2023-05-07 14:32:00.000,2c08953d-5008-4cbb-a5c0-96edb05b09da,
4,0,90,2023-05-08 12:36:00.000,,,2023-05-08 12:43:21.058,2023-05-08 12:43:21.058,90,1.3888888,71.86,5.89,UTC-0400,+OWbbAvnWG,com.sec.android.app.shealth,2023-05-08 12:37:00.000,0e593b3e-aa7d-4534-91b9-d5d7220d059f,
4,0,7,2023-05-06 21:36:00.000,,,2023-05-06 21:39:11.644,2023-05-06 21:39:11.644,7,0.9444444,5.13,0.48,UTC-0400,+OWbbAvnWG,com.sec.android.app.shealth,2023-05-06 21:37:00.000,dc89c587-8998-41f9-bb7b-29227e656f1c,
4,0,7,2023-05-07 15:14:00.000,,,2023-05-07 15:14:58.288,2023-05-07 15:14:57.879,7,1.3333334,5.4300003,0.47,UTC-0400,+OWbbAvnWG,com.sec.android.app.shealth,2023-05-07 15:15:00.000,112f92a1-2ae0-443b-a65f-c608508be022,
4,0,83,2023-05-08 12:38:00.000,,,2023-05-08 12:43:21.204,2023-05-08 12:43:21.204,83,1.4166666,65.01,5.41,UTC-0400,+OWbbAvnWG,com.sec.android.app.shealth,2023-05-08 12:39:00.000,f34bb59f-5f2f-4d5f-b6b1-23bd9c3e8a33,
4,0,80,2023-05-02 22:52:00.000,,,2023-05-02 22:53:17.285,2023-05-02 22:53:17.285,80,1.3333334,62.35,5.38,UTC-0400,+OWbbAvnWG,com.sec.android.app.shealth,2023-05-02 22:53:00.000,46d7dcf3-c875-4ea9-912e-d58510422b4b,
4,0,48,2023-05-07 15:31:00.000,,,2023-05-07 15:35:00.411,2023-05-07 15:35:00.411,48,1.4722222,38.65,3.08,UTC-0400,+OWbbAvnWG,com.sec.android.app.shealth,2023-05-07 15:32:00.000,1e301027-c654-4bff-839e-d1acec8713c9,
4,0,81,2023-05-07 17:24:00.000,,,2023-05-07 17:35:00.701,2023-05-07 17:35:00.701,81,1.1111112,61.2,5.64,UTC-0400,+OWbbAvnWG,com.sec.android.app.shealth,2023-05-07 17:25:00.000,7f5fdde8-3164-4044-90cb-635bcda6c0ff,
4,0,39,2023-05-05 16:51:00.000,,,2023-05-05 16:55:01.718,2023-05-05 16:55:01.718,39,1.0833334,29.61,2.64,UTC-0400,+OWbbAvnWG,com.sec.android.app.shealth,2023-05-05 16:52:00.000,d19a1ce9-8388-4d75-be0b-651420d44ed2,
