number_of_streak,start_time,exercise_type,device_type,exercise_session_id,update_time,create_time,source_pkg_name,program_id,title,time_offset,extra_data,deviceuuid,pkg_name,controller_id,end_time,datauuid,is_visible
2023-02-18 05:00:00.000,,10299999.0,,2023-02-24 05:20:57.915,2023-02-19 05:00:03.081,,,tracker_pedometer_reward_target_achieved,UTC-0500,"{""mTarget"":6500,""mValue"":7461}",+OWbbAvnWG,com.sec.android.app.shealth,tracker.pedometer,2023-02-18 05:00:00.000,86a3ab7f-a038-4e85-8474-f98ccf69a423,1,
2023-04-06 04:00:00.000,,10009.0,,2023-04-12 04:15:01.748,2023-04-07 04:00:02.295,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6500,""mValue"":8777}",+OWbbAvnWG,com.sec.android.app.shealth,tracker.pedometer,2023-04-06 04:00:00.000,3a189af9-6a73-4d3f-b25b-1d77f06e6355,1,
2022-11-03 04:00:00.000,,100003.0,,2022-11-23 22:17:22.731,2022-11-04 02:51:08.235,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6000,""mValue"":6746}",+OWbbAvnWG,com.sec.android.app.shealth,tracker.pedometer,2022-11-03 04:00:00.000,c048eb6b-f881-4235-9be4-9ecc710a858b,1,
2023-04-01 04:00:00.000,,100003.0,,2023-04-07 04:00:03.209,2023-04-07 04:00:03.209,,,tracker_pedometer_reward_most_walking_day,UTC-0400,"{""mTarget"":-1,""mValue"":10405}",+OWbbAvnWG,com.sec.android.app.shealth,tracker.pedometer,2023-04-01 04:00:00.000,4b41599d-af38-4ea0-ab41-5e5e91e3765e,1,
2023-04-08 04:00:00.000,,100003.0,,2023-04-30 16:15:46.205,2023-04-08 19:46:51.601,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6500,""mValue"":9806}",+OWbbAvnWG,com.sec.android.app.shealth,tracker.pedometer,2023-04-08 04:00:00.000,acd11f97-20ae-43cd-b93d-898f13e24676,1,
2023-02-20 05:00:00.000,,10299999.0,,2023-02-26 06:36:19.007,2023-02-21 05:00:19.032,,,tracker_pedometer_reward_target_achieved,UTC-0500,"{""mTarget"":6500,""mValue"":7130}",+OWbbAvnWG,com.sec.android.app.shealth,tracker.pedometer,2023-02-20 05:00:00.000,76e7a4aa-9438-439a-81af-1bd2e0fbbe72,1,
,1001.0,,041d688d-ab0a-4f90-a7a8-f0f945a4c22b,2023-04-09 19:23:21.168,2023-04-09 19:23:21.168,,,1205,UTC-0400,822.095,+OWbbAvnWG,com.sec.android.app.shealth,sport.tracker.best.record.calories.lifetime,2023-04-09 19:23:08.040,5777c4a4-6f71-46a1-8a2a-1c2cecc158a3,1,
2023-04-08 04:00:00.000,,10009.0,,2023-04-14 04:00:07.307,2023-04-09 04:58:12.875,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6500,""mValue"":6701}",+OWbbAvnWG,com.sec.android.app.shealth,tracker.pedometer,2023-04-08 04:00:00.000,3890f022-6d37-44a5-902e-aacd468d6122,1,
2022-12-09 05:00:00.000,,10009.0,,2022-12-15 05:00:03.701,2022-12-10 05:35:29.847,,,tracker_pedometer_reward_target_achieved,UTC-0500,"{""mTarget"":6000,""mValue"":7694}",+OWbbAvnWG,com.sec.android.app.shealth,tracker.pedometer,2022-12-09 05:00:00.000,93b7abbf-8551-4d08-84ef-ccbc26ffff36,1,
2023-04-06 04:00:00.000,,100003.0,,2023-04-10 04:00:14.670,2023-04-10 04:00:14.670,,,tracker_pedometer_reward_most_walking_day,UTC-0400,"{""mTarget"":-1,""mValue"":11243}",+OWbbAvnWG,com.sec.android.app.shealth,tracker.pedometer,2023-04-06 04:00:00.000,91a80bbf-91d3-44c7-9d3a-235f95e46238,1,
